Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Killing Season;Action, Drama, Thriller;English, Serbian;Movie;Sweden;1-2 hour;Mark Steven Johnson;Milo Ventimiglia, Robert De Niro, John Travolta, Elizabeth Olin;R;10;25;;;$ 39,88;25-jul-13;14/4/2015;35932;5.4
Killing Them Softly;Crime, Drama, Thriller;English;Movie;Czech Republic,United States,Hungary;1-2 hour;Andrew Dominik;James Gandolfini, Brad Pitt, Scoot McNairy, Ben Mendelsohn;R;73;64;3;9;$15,026,056;30-nov-12;14/4/2015;134226;6.2
Khumba;Animation, Adventure, Family;English;Movie;Hungary,Poland;1-2 hour;Anthony Silverston;Bryce Papenbrook, Jake T. Austin, Adrian Rhodes, Sam Riegel;Not Rated;44;40;4;3;$ 1,03;25-oct-13;14/4/2015;5592;5.7
Katt Williams: Kattpacalypse;Comedy;English;Movie;Russia,India,Hungary,Lithuania,United Kingdom,Australia,Singapore,Canada,Romania,South Africa,Thailand,Czech Republic,United States;1-2 hour;Marcus Raboy;Katt Williams;TV-MA;;;;;;25 Aug 2012;14/4/2015;575;5.5
Katt Williams: American Hustle (The Movie);Documentary, Comedy;English;Movie;Canada,Australia,Russia,Singapore,India,Hungary,Lithuania,United Kingdom,Romania,Mexico,Argentina,South Africa,Thailand,Czech Republic,United States;1-2 hour;James Yukich, Brit McAdams;Cece Bell, Julie Brister, Chris Jai Alex, Da Brat;Not Rated;88;;;;;26-oct-07;14/4/2015;931;6.7
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal;Comedy;English;Movie;United States;1-2 hour;;Mike Birbiglia;Unrated;;;;;;9-feb-08;14/4/2015;1644;7.7
Infernal Affairs;Action, Crime, Drama, Mystery, Thriller;Cantonese, English, Thai;Movie;Russia,India,United Kingdom,Hong Kong,Canada,South Africa,South Korea,Israel,Greece;1-2 hour;Andrew Lau, Alan Mak;Tony Chiu-Wai Leung, Andy Lau, Eric Tsang, Anthony Chau-Sang Wong;R;94;75;24;26;$ 169,66;12 Dec 2002;14/4/2015;118008;8
Welcome to the Jungle;Action, Adventure, Comedy;English;Movie;Hungary,Czech Republic,Slovakia,Romania;1-2 hour;Rob Meltzer;Adam Brody, Rob Huebel, Megan Boone, Jean-Claude Van Damme;Not Rated;22;25;1;;;8-feb-14;14/4/2015;12390;4.9
Magic Beyond Words: The J.K. Rowling Story;Biography, Drama;English;Movie;India;1-2 hour;Paul A. Kaufman;Antonio Cupo, Poppy Montgomery, Janet Kidder, Emily Holmes;TV-14;33;;4;11;;18-jul-11;14/4/2015;2318;6.7
Just Another Love Story;Crime, Drama, Thriller;Danish;Movie;United States;1-2 hour;Ole Bornedal;Nikolaj Lie Kaas, Rebecka Hemse, Anders W. Berthelsen, Charlotte Fich;Not Rated;74;69;5;9;$ 45,84;24 Aug 2007;14/4/2015;4647;7.2
Tabloid Truth;Crime, Thriller;Korean;Movie;South Korea;> 2 hrs;Kwang-shik Kim;Lee Ji-Ha, Kang-woo Kim, Eui-sung Kim, Jin-young Jung;PG-13;50;;;1;;20-feb-14;14/4/2015;389;6.3
As the Light Goes Out;Action, Drama;Cantonese, Mandarin;Movie;Hong Kong,India,Hungary,Lithuania,United Kingdom,Switzerland,Romania,Russia,Mexico,Brazil,Czech Republic,Germany,Iceland,Australia,Singapore,Argentina,Greece,Malaysia,Slovakia,Sweden,Colombia;1-2 hour;Chi-Kin Kwok;Jun Hu, Shawn Yue, Simon Yam, Nicholas Tse;Not Rated;31;;3;11;;02 Jan 2014;14/4/2015;1151;6.2
Joan Rivers: Dont Start with Me;Comedy;English;Movie;Romania,Russia,India,Lithuania,Sweden,Canada,United Kingdom,South Africa,Australia,Hungary,Singapore,Thailand,Czech Republic,United States;1-2 hour;Scott L. Montoya;Stacey McMichael, Joe Valentino, Mick Archer, Joan Rivers;TV-MA;;;;;;15-nov-12;14/4/2015;372;6.6
The Good, the Bad, the Weird;Action, Adventure, Comedy, Western;Korean, Mandarin, Japanese;Movie;South Korea;> 2 hrs;Jee-woon Kim;Je-mun Yun, Lee Byung-Hun, Kang-ho Song, Jung Woo-sung;R;82;69;12;27;$ 128,49;17-jul-08;14/4/2015;33484;7.3
Chinese Zodiac;Action, Adventure, Comedy, Crime, Family;English, Mandarin, French, Spanish, Russian;Movie;Japan,Malaysia;1-2 hour;Jackie Chan;Max Huang, Oliver Platt, Qi Shu, Jackie Chan;PG-13;25;29;7;13;;18-oct-13;14/4/2015;21441;6.1
Jackie Chans Project A;Action, Comedy;Cantonese, English;Movie;Hong Kong;1-2 hour;Sammo Kam-Bo Hung, Jackie Chan;Dick Wei, Sammo Kam-Bo Hung, Biao Yuen, Jackie Chan;PG-13;77;;1;3;;22 Dec 1983;14/4/2015;15150;7.4
Jab We Met;Comedy, Drama, Romance;Hindi;Movie;Lithuania,Russia,India,Czech Republic,Germany,Mexico,Poland,Hong Kong,France,Spain,Greece,Slovakia,Sweden,Belgium,Turkey,Hungary,Brazil,Netherlands,Italy,Iceland,Portugal,Israel,Argentina,South Africa,Colombia,Romania,United States;< 30 minutes;Imtiaz Ali;Dara Singh, Shahid Kapoor, Kareena Kapoor, Tarun Arora;Not Rated;90;;13;19;;26-oct-07;14/4/2015;47845;7.9
